date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:11	78640/78640	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-solid-straight.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-solid-straight.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:12	412012/412012	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Apr%202023%2019:46:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-solid-rounded.eot	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-solid-rounded.eot	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:12	150584/150584	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Apr%202023%2019:46:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-solid-rounded.woff2	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-solid-rounded.woff2	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:12	196256/196256	---M--	200	added ('OK')	font/woff	date:Thu,%2013%20Apr%202023%2019:46:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-solid-rounded.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-solid-rounded.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:12	189500/189500	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-straight.eot	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-straight.eot	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:12	77464/77464	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-straight.woff2	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-straight.woff2	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:13	96960/96960	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-straight.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-straight.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:13	148732/148732	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-rounded.eot	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-rounded.eot	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:13	59376/59376	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-rounded.woff2	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-rounded.woff2	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:13	72608/72608	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-regular-rounded.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-regular-rounded.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
